arm,seed,horizon_min,patience,earliest,cycles,diagnosed,diag_share,stage3_attempts,accepted,rule,concept,composite,clause,clause_accepted,rej_G1,rej_G2,rej_G3,rej_G4G5,rej_other,genai_retired,burned_ha,j_total,seconds
on,201,24.0,8,0,20,18,0.9,3,2,1,1,0,1,0,0,0,0,1,0,0,334.35,0.438563,65.9
off,201,24.0,8,0,20,0,0.0,3,2,0,1,0,2,1,0,0,0,1,0,0,332.1,0.427218,65.5
on,202,24.0,8,0,20,18,0.9,4,0,0,3,0,1,0,0,0,0,4,0,0,82.17,0.164315,65.2
off,202,24.0,8,0,20,0,0.0,3,2,1,1,0,1,0,0,0,0,1,0,0,129.24,0.192822,69.7
on,203,24.0,8,0,20,18,0.9,4,2,0,2,0,2,1,0,0,0,2,0,0,183.06,0.225762,78.1
off,203,24.0,8,0,20,0,0.0,4,0,0,3,0,1,0,0,0,0,4,0,0,184.23,0.226174,60.6
on,204,24.0,8,0,20,18,0.9,3,1,0,1,0,2,1,0,0,0,2,0,0,271.35,0.436978,60.2
off,204,24.0,8,0,20,0,0.0,3,1,0,2,0,1,0,0,0,0,2,0,0,280.98,0.432443,58.2
on,205,24.0,8,0,20,18,0.9,4,1,1,1,0,2,0,0,0,1,2,0,0,164.07,0.220369,73.0
off,205,24.0,8,0,20,0,0.0,4,1,1,2,0,1,0,0,0,1,2,0,0,165.42,0.221335,82.3
